"dates","title"
2022-03-04,"""Spendet doch selbst!"""
2022-02-28,"FC Schalke 04 beendet Zusammenarbeit mit russischem Sponsor Gazprom"
2022-02-28,"Ein Spieltag für den Frieden"
2022-02-27,"FC Augsburg und der BVB trennen sich unentschieden"
2022-02-25,"""Mein Land gehört den Ukrainern"""
2022-02-21,"Ein Spiel, so bunt wie ein Mainz-Trikot"
2022-02-20,"BVB besiegt Gladbach nach Pleite in der Europa League "
2022-02-18,"Gegen die Bayern gewinnt man lieber nicht"
2022-02-16,"Gewalt durch Fußballfans kostet pro Jahr 44 Millionen Euro"
2022-02-14,"Die Traumtorfabrik der Liga"
2022-02-13,"Hoffenheim beendet Negativserie mit Sieg gegen Bielefeld"
2022-02-11,"Die Bayern sind so selbstlos "
2022-02-07,"Riad oder Ruhrgebiet, Hauptsache Pay-TV"
2022-02-06,"VfL Wolfsburg schlägt SpVgg Greuther Fürth"
2022-02-04,"5.000 Helme für RB Leipzig"
2022-02-01,"Arne Friedrich verlängert seinen Vertrag als Sportdirektor nicht"
2022-01-25,"Deutsche Handballer siegen im letzten EM-Spiel gegen Russland"
2022-01-24,"Das beste Mittel gegen den Januarblues"
2022-01-23,"Deutsche Handballer verpassen Einzug ins EM-Halbfinale"
2022-01-23,"Bayern München gewinnt gegen Hertha BSC"
2022-01-21,"Deutsche Handballnationalmannschaft verliert gegen Norwegen"
2022-01-21,"Ach, wär' doch immer Pokal …"
2022-01-19,"Der Dresdner Meisterdirigent"
2022-01-17,"Der Hüne schimpft"
2022-01-16,"Keine Sieger in den Sonntagsspielen"
2022-01-16,"Novak Đoković hat Australien verlassen"
2022-01-14,"Deutsche Handballer starten mit Sieg in EM"
2022-01-14,"Fußball als Viruslotterie"
2022-01-11,"""Für manche war das Stadion das Einzige, was sie noch aushielten"""
2022-01-10,"Borussia Dortmund und das Bällebad"
2022-01-09,"Der VfL Wolfsburg verliert auch in Bochum"
2022-01-07,"""Komm zum Platz. Und bring Schuhe mit!"""
2021-12-29,"Oliver Kahn bestätigt Mindestlohn-Ermittlungen gegen Vereinsvorstände"
2021-12-26,"Die Flucht vor der Familie"
2021-12-20,"So schön kann Fußball sein"
2021-12-19,"Und mit Geld spielt man doch"
2021-12-19,"Köln schlägt zum Abschluss der Hinrunde Stuttgart"
2021-12-17,"Eine badische Weihnachtsgeschichte"
2021-12-16,"DFB-Team trifft auf Italien, England und Ungarn"
2021-12-16,"Die seltsame Tabelle der Fußball-Bundesliga"
2021-12-15,"Dortmund gewinnt gegen Fürth"
2021-12-13,"Bei den Fohlen brennt der Stall"
2021-12-12,"Eintracht Frankfurt gewinnt gegen Bayer Leverkusen"
2021-12-12,"""Es ist kein Selbstläufer, dass die Menschen wiederkommen"""
2021-12-10,"Die Bundesliga blamiert sich mal wieder"
2021-12-08,"VfL Wolfsburg scheidet aus der Champions League aus"
2021-12-08,"Der Einbruch"
2021-12-07,"Borussia Dortmund siegt souverän gegen Beşiktaş Istanbul"
2021-12-07,"Jude Bellingham nach Kritik an Schiedsrichter zu Geldstrafe verurteilt"
2021-12-06,"Bestraft es der DFB, wenn die Spieler seine Urteile kennen? "
2021-12-05,"Auf der Suche nach dem Schatz in uns"
2021-12-05,"RB Leipzig trennt sich von Trainer Jesse Marsch"
2021-12-05,"Gesprochen wird nur über ihn"
2021-12-04,"Mönchengladbach erlebt historisches Debakel gegen Freiburg"
2021-12-03,"Haaland, Lewandowski oder Omikron?"
2021-12-02,"Tabellenführung in Symbolpolitik"
2021-11-29,"Hertha BSC entlässt Trainer Pál Dárdai, Tayfun Korkut übernimmt"
2021-11-29,"Ein Fußballspiel als großer Rausch"
2021-11-26,"Leverkusen schlägt Leipzig vor leeren Rängen"
2021-11-26,"Was Fußballstadien von Weihnachtsmärkten unterscheidet"
