"dates[-1]","title[-1][1:length(dates[-1])]"
2022-05-23,"Bahn und Verkehrsverbünde starten Verkauf des Neun-Euro-Tickets"
2022-05-20,"""Wir können keine neuen Züge herbeizaubern"""
2022-05-20,"Warum kann es das nicht immer geben?"
2022-05-20,"Bundesrat stimmt für Neun-Euro-Ticket"
2022-05-18,"Was hinter dem RAF-Anschlag auf das Springer-Hochhaus steckte "
2022-05-18,"Man muss Autofahren ja nicht gleich verbieten"
2022-05-15,"Bayern droht bei Neun-Euro-Ticket mit Blockade im Bundesrat"
2022-05-09,"Entlastet werden mal wieder vor allem die Reichen"
2022-05-06,"Radtour, aber richtig"
2022-05-06,"Preise müssen endlich die ökologische Wahrheit widerspiegeln"
2022-05-05,"""Dann kommt kaum mehr jemand auf die Idee, ins eigene Auto zu steigen"""
2022-05-02,"Fürchten Sie die Stromsperre?"
2022-04-14,"Die deutschlandweite Mobilitätsapp droht zu scheitern"
2022-04-14,"Heilige Scheiße"
2022-04-13,"Fahrgastverband warnt vor vollen Ferienzügen durch Neun-Euro-Ticket"
2022-04-08,"""Diese Regierung kann kein Krisenmanagement"" "
2022-04-07,"Zahl der Fahrgäste in Bussen und Bahnen 2021 abermals gesunken"
2022-04-05,"""Die Straßen gehören nicht naturgemäß dem Auto"""
2022-04-02,"Schöner Reisen in der Klimakrise"
2022-04-01,"Was bedeutet der Gasstreit mit Russland für Verbraucher?"
2022-04-01,"Neun-Euro-Ticket soll spätestens Anfang Juni verfügbar sein"
2022-03-31,"Putins Berater, Notfallplan Gas, Inflation"
2022-03-30,"Wer es sich leisten kann, fährt trotzdem Auto"
2022-03-28,"Warum kein Fahrverbot am Sonntag?"
2022-03-26,"Nur gute Nachrichten und Inspirierendes zum Wochenende"
2022-03-25,"Pläne zu günstigem ÖPNV-Ticket sorgen für Chaos"
2022-03-25,"Der isolierte Kandidat"
2022-03-25,"Geld für Energie, deutliche Signale, Ausstieg aus der Politik"
2022-03-24,"Sozial- und Umweltverbände kritisieren Entlastungspaket"
2022-03-24,"Für jeden was dabei"
2022-03-24,"Ampel beschließt 300 Euro Einmalzahlung – Tanken wird günstiger"
2022-03-19,"Wir haben zu tanken"
2022-03-18,"Bundestag beschließt umfassende Corona-Lockerungen ab 20. März"
2022-03-16,"Wenn ein paar Cent mehr richtig wehtun"
2022-03-14,"Es gibt kein Recht auf billiges Benzin"
2022-03-13,"Energiesparen gegen Putin"
2022-03-11,"Abwarten und Fahrrad fahren"
2022-03-11,"Wie sehr belasten Sie die hohen Spritpreise?"
2022-03-09,"""Der ÖPNV kann attraktiver werden als das Auto"""
2022-03-08,"Wie in Hamburg lebende Ukrainerinnen und Ukrainer den Krieg erleben"
2022-03-03,"""Vielleicht ist es an der Zeit, auch mal was zurückzugeben"""
2022-02-27,"""In einem Monat habe ich 53.000 Euro eingenommen"""
2022-02-04,"Her mit dem Fahrplan zur Freiheit"
2022-01-30,"""Meine Fonds sind 350.000 Euro wert"""
2022-01-26,"Was Autofahren wirklich kostet"
2022-01-25,"Draußen bleiben ist für alle besser"
2022-01-23,"""Ohne Headhunter hätte ich gedacht: Das ist jetzt zu groß für mich"""
2022-01-15,"Linke will schnellere Klimawende"
2022-01-15,"Nur gute Nachrichten und Inspirierendes zum Wochenende"
2022-01-13,"Hamburg nimmt die höchste Welle"
