"dates[-1]","title[-1][1:length(dates[-1])]"
2017-04-06,"""100-prozentige Gerechtigkeit kriegt man nicht hin!"""
2017-04-05,"Die Lufthansa lässt Pilotenträume platzen"
2017-03-27,"Für die Mäuse wird es eng"
2017-03-23,"""Wir brauchen eine Quote für Elektroautos"""
2017-03-23,"Haltet endlich die Luft an!"
2017-03-13,"So hart ist Fahrradfahren in Berlin"
2017-03-10,"Irgendwie, Irgendwo, Irgendwann"
2017-02-23,"Welche Zukunft hat der Diesel?"
2017-02-23,"Bahn frei"
2017-02-15,"""Zumutbar, 45 Stunden in der Woche zu arbeiten"""
2017-02-12,"""Die Kommunen werden mit den Kosten alleingelassen"""
2017-02-11,"""Preiserhöhungen werden zunehmend kritisch gesehen"""
2017-02-10,"Volle Tram, leere Kasse"
2017-02-09,"""Viele Kommunen verbrennen Geld"""
2017-02-09,"Wo der Nahverkehr sein Geld wert ist"
2017-02-09,"Wo Dresden Vorbild ist"
2017-02-09,"Nichts geht mehr am Neumarkt"
2016-12-25,"Weltkriegsbombe entschärft - Tausende können in ihre Häuser zurück"
2016-12-06,"""Die Leute möchten miteinbezogen werden"""
2016-11-23,"Wir brauchen unseren Anstand zurück!"
2016-11-07,"Keine Autos vorm Stadtschloss"
2016-10-20,"Der Irrglaube an die Privatisierung"
2016-10-19,"Flatrate statt eigenes Auto"
2016-10-12,"Warten auf den Elektrobus"
2016-10-07,"Die letzte Meile braucht keinen Fahrer mehr"
2016-10-06,"Hamburgs bessere Hälfte"
2016-09-30,"11 Sätze, die Busfahrer*innen nicht mehr hören können"
2016-08-29,"Bundesregierung will Carsharing-Autos besserstellen"
2016-08-25,"Benehmt euch in Bussen und Bahnen nicht wie die Trampel!"
2016-08-16,"Lieber pendeln als umziehen"
2016-07-20,"Eine Stadt will sich dem Fahrrad unterordnen"
2016-05-27,"Kein Geld für Reisen? So geht Urlaub zu Hause!"
2016-04-18,"Wieso kündigt die Anzeige einen Bus ""Sofort"" an, der dann nicht kommt?"
2016-02-02,"Wo Tore mehr zählen als Räder"
2016-01-21,"Die Revolution im Zuckeltempo"
2015-12-21,"Oslo wirft das Auto raus"
2015-12-10,"Sicherheit, die wenig kostet"
2015-11-27,"Beim Klima zählt auch das Geschlecht"
2015-10-29,"Gotteskrieger in der S-Bahn"
2015-09-17,"Ein größtenteils gelungenes Update"
2015-09-09,"Etwas Marketing-Voodoo fürs iPhone 6s"
2015-09-02,"Neue Busse braucht das Land"
2015-07-10,"Apple lädt zum Testen von iOS 9 ein"
2015-03-10,"Berlin, der Ankündigungsweltmeister"
2015-03-02,"Auch Opa verdient ein smartes Handy"
2015-03-02,"""Viele können sich jetzt wieder eine Reise leisten"""
2015-01-22,"Mit dem Smartphone durch den Verkehr"
2015-01-16,"Kampf dem Krach"
2014-09-24,"Aktionismus ohne Wert"
2014-08-18,"Widerstand gegen Privilegien für Elektroautos"
2014-06-30,"""Radfahrer machen eine Stadt erst richtig lebendig"""
2014-05-02,"Mein Dorf, mein Haus, mein geteiltes Auto"
2014-04-29,"Wie Familien es ohne eigenes Auto schaffen"
2014-04-24,"Deutschlands Carsharing-Hauptstadt"
2014-04-08,"Gute Lösung für Selten-Fahrer"
2013-11-21,"Grüne Ferraris"
2013-09-20,"Für die Union hat das Auto Vorfahrt"
2013-09-04,"Konsens für alle!"
2013-05-02,"Nachhaltige Mobilität hilft auch der Konjunktur"
2013-04-04,"Sollen wir die Dörfer aufgeben?"
2013-03-22,"Bahnunternehmen warnen vor Preiserhöhung wegen Ökostrom-Umlage"
2016-02-19,"""Die Deutschen gehen die Sache falsch an"""
2013-01-21,"""Jedes neue Carsharing-Auto ersetzt zehn private"""
2013-01-17,"Die neue Burgerlichkeit"
2012-12-17,"Auto nur voll besetzt so CO2-sauber wie Regionalzug"
2012-12-14,"""Jeder Radfahrer muss ab und zu kampfradeln"""
2012-05-16,"""Die Piraten sind schon unglaublich vernünftig"""
2011-11-28,"Baden-Württembergs drittes Risiko"
2012-06-14,"Jeder will jetzt teilen"
2011-02-15,"Die Verliererinnen im Hartz-IV-Streit"
2012-02-04,"Mobilität zum Pauschalpreis"
2010-11-19,"""Berlin soll nicht nur Erprobungsmarkt für Elektroautos sein"""
2010-11-10,"""Der Benzinpreis ist nicht entscheidend"""
2010-09-24,"Erst die Wohnung, dann der Verkehr"
2010-09-16,"Über die rote Welle"
2016-02-19,"""Der Nahverkehr muss umweltfreundlicher werden"""
2010-04-22,"Ein akkuter  Spaß"
2010-01-28,"Lei, lei, lei, lei, da ist nix dabei"
2009-04-02,"Das virtuelle Berlin"
2008-08-05,"Der bewegte Mensch"
2008-02-11,"Wir müssen draußen bleiben"
2006-07-06,"Verkehr bleibt öffentlich"
2006-07-06,"Begehrter Müll"
2006-07-06,"Schmerz ist selten Privatsache"
2006-07-06,"Privater Strom"
2005-12-08,"Das  Letzte"
2004-10-21,"Grüne Hoffnung, blaues Wunder"
2004-09-09,"Umsteigen, bitte"
2004-03-25,"Alles auf eine Karte"
2002-03-21,"Unterwegs in der Kathedrale"
2002-03-21,"Unterwegs in der Kathedrale"
2001-02-01,"Der Flirt-Faktor"
2000-03-02,"Blicke aus der Schießscharte"
2013-08-28,"Das Land in Zahlen"
2013-08-28,"Städtetag will Lastwagen aus Wohngebieten verbannen"
1996-05-31,"Neuer Reiseatlas"
1996-05-17,"Öffentlicherpersonennahverkehr: Alle Frauen haben kleine Füße"
1996-05-10,"Öffentlicherpersonennahverkehr: Alles fließt"
1996-05-03,"Kolummne über den ÖPNV: Nicht mehr einsteigen, Mänsch!"
1996-04-26,"Kolumne über den ÖPNV: Ein Grabmal muß nicht teuer sein"
1996-04-19,"Die neue Kolumne: ÖPNV, der Öffentlichepersonennahverkehr"
1995-11-03,"Bargeldlos im Nahverkehr"
1995-06-23,"Ah oh mmmh ah - iih!"
1995-05-05,"Mit dem Auto-Pilot durchs Chaos"
1994-12-09,"Testfall für den schlanken Staat"
1994-10-28,"Gleisanschluß zur Ladentheke"
1994-06-10,"Milliarden auf falschem Gleis"
1993-12-24,"Neues vom ""Hundekopf"""
1993-05-28,"Chaos mit Chancen"
1992-03-13,"Auf die sanfte Tour"
1992-01-17,"Zeitlese"
1991-06-07,"Großer Bahnhof"
1991-05-10,"Ohne Furcht, nicht ohne Tadel"
1988-11-25,"Stadt unterm Rad"
1973-04-13,"Bus, Taxi oder Privatwagen?"
1973-03-09,"Wer hält die Lawine auf?"
